tgt_priority_explanation,tgt_industry,country_flying_mission,total_tons,ac_attacking
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,urban areas,others,20,8
target of opportunity,urban areas,others,20,8
target of opportunity,unidentified targets,others,40,16
target of opportunity,unidentified targets,others,40,16
target of opportunity,unidentified targets,others,40,16
target of opportunity,unidentified targets,others,27,11
target of opportunity,unidentified targets,others,27,11
target of opportunity,unidentified targets,others,27,11
target of opportunity,unidentified targets,others,28,11
target of opportunity,unidentified targets,others,28,11
target of opportunity,unidentified targets,others,28,11
target of opportunity,unidentified targets,others,29,12
target of opportunity,unidentified targets,others,29,12
target of opportunity,unidentified targets,others,29,12
target of opportunity,unidentified targets,others,33,13
target of opportunity,unidentified targets,others,33,13
target of opportunity,unidentified targets,others,33,13
target of opportunity,unidentified targets,others,5,2
target of opportunity,unidentified targets,others,5,2
target of opportunity,unidentified targets,others,5,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
secondary target,urban areas,great britain,601,31
primary target,urban areas,great britain,558,98
target of opportunity,urban areas,great britain,158,14
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,synthetic oil refineries,others,3,1
target of opportunity,synthetic oil refineries,others,3,1
secondary target,urban areas,great britain,799,73
target of last resort,unidentified targets,usa,4,1
target of last resort,unidentified targets,usa,4,1
target of last resort,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
primary target,unidentified targets,others,3,1
primary target,unidentified targets,others,3,1
primary target,unidentified targets,others,3,1
target of opportunity,urban areas,great britain,449,51
target of last resort,unidentified targets,usa,3,1
target of last resort,unidentified targets,usa,3,1
target of opportunity,urban areas,great britain,775,14
target of opportunity,urban areas,great britain,396,96
primary target,urban areas,great britain,14,7
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,urban areas,great britain,196,50
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
secondary target,urban areas,great britain,8,74
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,urban areas,great britain,76,49
secondary target,urban areas,usa,94,32
secondary target,urban areas,usa,94,32
secondary target,urban areas,usa,94,32
target of last resort,urban areas,usa,88,31
target of last resort,urban areas,usa,88,31
target of last resort,urban areas,usa,88,31
target of opportunity,urban areas,others,32,13
target of opportunity,urban areas,others,32,13
secondary target,urban areas,great britain,929,85
target of opportunity,urban areas,others,32,13
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,urban areas,others,29,12
target of opportunity,urban areas,others,29,12
target of opportunity,urban areas,others,29,12
target of opportunity,unidentified targets,others,55,17
target of opportunity,unidentified targets,others,55,17
target of opportunity,unidentified targets,others,55,17
target of last resort,urban areas,great britain,15,86
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,others,25,10
target of opportunity,unidentified targets,others,25,10
target of last resort,unidentified targets,others,28,11
target of last resort,unidentified targets,others,28,11
target of last resort,unidentified targets,others,28,11
target of last resort,unidentified targets,others,30,12
target of last resort,unidentified targets,others,30,12
target of last resort,unidentified targets,others,30,12
target of last resort,unidentified targets,others,28,11
target of last resort,unidentified targets,others,28,11
target of last resort,unidentified targets,others,28,11
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,13,5
target of opportunity,unidentified targets,others,13,5
target of last resort,unidentified targets,others,30,12
target of last resort,unidentified targets,others,30,12
target of last resort,unidentified targets,others,30,12
primary target,urban areas,great britain,20,55
primary target,synthetic oil refineries,others,3,1
primary target,synthetic oil refineries,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,39,13
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,39,13
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,36,12
primary target,synthetic oil refineries,others,38,13
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,38,13
primary target,synthetic oil refineries,others,33,11
primary target,synthetic oil refineries,others,36,12
